study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,pE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW, rating,question,scale,anchors,reference,note,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,6,2,6,2,0.75,0.75,0.00,0.00,0.50,0.75,0.14,0.15,0.17,-0.31,-1.14,0.24,0.00,43,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,4,4,4,4,0.50,0.50,0.00,0.00,0.50,0.50,0.10,0.10,0.08,-0.70,-0.71,0.09,0.00,37,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,2,6,2,6,0.25,0.25,0.00,0.00,0.50,0.25,0.05,0.05,0.03,-1.15,-0.31,-0.08,0.00,29,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,0,8,0,8,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,-2.19,0.32,-0.27,0.00,9,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,0,8,8,0,0.00,1.00,-1.00,-1.00,0.50,0.50,-0.81,-0.94,-0.91,-2.20,8.02,-1.00,-1.00,-94,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,0,8,6,2,0.00,0.75,-0.75,-1.00,0.50,0.38,-0.61,-0.70,-0.82,-2.19,4.49,-0.83,-0.72,-85,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,2,6,8,0,0.25,1.00,-0.75,-0.75,0.50,0.63,-0.56,-0.65,-0.65,-1.77,4.20,-0.59,-0.78,-72,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,0,8,4,4,0.00,0.50,-0.50,-1.00,0.50,0.25,-0.41,-0.47,-0.73,-2.19,2.47,-0.65,-0.46,-79,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,2,6,6,2,0.25,0.75,-0.50,-0.67,0.50,0.50,-0.36,-0.42,-0.51,-1.67,1.60,-0.43,-0.50,-65,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,4,4,8,0,0.50,1.00,-0.50,-0.50,0.50,0.75,-0.31,-0.37,-0.39,-1.31,1.79,-0.24,-0.54,-46,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,0,8,2,6,0.00,0.25,-0.25,-1.00,0.50,0.13,-0.20,-0.23,-0.63,-2.20,1.17,-0.46,-0.22,-72,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,2,6,4,4,0.25,0.50,-0.25,-0.50,0.50,0.38,-0.16,-0.18,-0.31,-1.49,0.38,-0.25,-0.24,-59,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,4,4,6,2,0.50,0.75,-0.25,-0.33,0.50,0.63,-0.11,-0.13,-0.19,-1.08,0.01,-0.07,-0.26,-43,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,6,2,8,0,0.75,1.00,-0.25,-0.25,0.50,0.88,-0.06,-0.08,-0.13,-0.73,-0.13,0.08,-0.28,-21,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,0,8,0,8,0.00,0.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,-2.19,0.31,-0.27,0.00,-45,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,2,6,2,6,0.25,0.25,0.00,0.00,0.50,0.25,0.05,0.05,0.03,-1.14,-0.31,-0.08,0.00,-48,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,4,4,4,4,0.50,0.50,0.00,0.00,0.50,0.50,0.10,0.10,0.08,-0.71,-0.71,0.09,0.00,-34,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,6,2,6,2,0.75,0.75,0.00,0.00,0.50,0.75,0.14,0.15,0.17,-0.30,-1.14,0.24,0.00,-23,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (preventive component),1,,,57,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,preventive,Table 1,8,0,8,0,1.00,1.00,0.00,0.00,0.50,1.00,0.19,0.21,0.40,0.31,-2.21,0.37,0.00,-9,Participants were asked to judge how strongly each vaccine prevented the disease related to the virus,0-100,"0 = the vaccine does not prevent the disease at all, 100 = the vaccine prevents the disease every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,6,6,6,6,0.50,0.50,0.00,0.00,0.50,0.50,0.10,0.10,0.08,-0.86,-0.86,0.09,0.00,3,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,3,3,9,9,0.50,0.50,0.00,0.00,0.25,0.50,0.10,0.10,0.08,-0.70,-0.70,0.02,0.00,-1,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,3,9,3,9,0.25,0.25,0.00,0.00,0.50,0.25,0.05,0.05,0.03,-1.32,-0.44,-0.08,0.00,-14,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,9,3,9,3,0.75,0.75,0.00,0.00,0.50,0.75,0.14,0.15,0.17,-0.44,-1.33,0.24,0.00,27,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,9,9,3,3,0.50,0.50,0.00,0.00,0.75,0.50,0.10,0.10,0.08,-0.82,-0.82,0.14,0.00,8,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,3,5,6,10,0.38,0.38,0.00,0.00,0.33,0.38,0.07,0.08,0.06,-0.96,-0.60,0.05,0.00,-4,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,3,6,5,10,0.33,0.33,0.00,0.00,0.38,0.33,0.06,0.07,0.05,-1.07,-0.55,0.03,0.00,-7,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,5,3,10,6,0.63,0.63,0.00,0.00,0.33,0.63,0.12,0.13,0.12,-0.60,-0.97,0.05,0.00,1,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,5,10,3,6,0.33,0.33,0.00,0.00,0.63,0.33,0.06,0.07,0.05,-1.18,-0.57,-0.06,0.00,-17,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,6,3,10,5,0.67,0.67,0.00,0.00,0.38,0.67,0.13,0.14,0.13,-0.56,-1.08,0.09,0.00,-1,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,6,10,3,5,0.38,0.38,0.00,0.00,0.67,0.38,0.07,0.08,0.06,-1.09,-0.63,-0.02,0.00,-11,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,10,5,6,3,0.67,0.67,0.00,0.00,0.63,0.67,0.13,0.14,0.13,-0.56,-1.17,0.28,0.00,30,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,10,6,5,3,0.63,0.63,0.00,0.00,0.67,0.63,0.12,0.13,0.12,-0.63,-1.08,0.27,0.00,29,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,2,6,6,6,0.25,0.50,-0.25,-0.50,0.40,0.40,-0.16,-0.18,-0.31,-1.54,0.41,-0.23,-0.24,-27,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,6,2,6,6,0.75,0.50,0.25,0.50,0.40,0.60,0.35,0.39,0.40,0.41,-1.55,0.33,0.26,30,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
