id,study,experiment,n,framing,N_11,N_10,N_01,N_00,pEC,pEnoC,deltaP,power,sample_direction,rating,reference
195,White (2003b),1,40,bidirectional,0,4,4,4,0,0.5,-0.5,1,preventive,-40.75,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
196,White (2003b),1,40,bidirectional,0,4,4,8,0,0.3333333333333333,-0.3333333333333333,1,preventive,-29.27,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
197,White (2003b),1,40,bidirectional,0,4,8,4,0,0.6666666666666666,-0.6666666666666666,1,preventive,-44.25,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
198,White (2003b),1,40,bidirectional,0,4,8,8,0,0.5,-0.5,1,preventive,-33.65,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
199,White (2003b),1,40,bidirectional,0,8,4,4,0,0.5,-0.5,1,preventive,-49.77,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
200,White (2003b),1,40,bidirectional,0,8,4,8,0,0.3333333333333333,-0.3333333333333333,1,preventive,-33.65,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
201,White (2003b),1,40,bidirectional,0,8,8,4,0,0.6666666666666666,-0.6666666666666666,1,preventive,-54.27,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
202,White (2003b),1,40,bidirectional,0,8,8,8,0,0.5,-0.5,1,preventive,-42.67,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
203,White (2003b),2,39,bidirectional,6,3,3,0,0.6666666666666666,1,-0.33333333333333337,0.33333333333333337,preventive,-11.77,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
204,White (2003b),2,39,bidirectional,6,3,6,0,0.6666666666666666,1,-0.33333333333333337,0.33333333333333337,preventive,0.79,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
205,White (2003b),2,39,bidirectional,6,6,3,0,0.5,1,-0.5,0.5,preventive,4.49,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
206,White (2003b),2,39,bidirectional,6,6,6,0,0.5,1,-0.5,0.5,preventive,-2.18,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
207,White (2003b),2,39,bidirectional,12,3,3,0,0.8,1,-0.19999999999999996,0.19999999999999996,preventive,40,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
208,White (2003b),2,39,bidirectional,12,3,6,0,0.8,1,-0.19999999999999996,0.19999999999999996,preventive,23.38,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
209,White (2003b),2,39,bidirectional,12,6,3,0,0.6666666666666666,1,-0.33333333333333337,0.33333333333333337,preventive,25.92,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
210,White (2003b),2,39,bidirectional,12,6,6,0,0.6666666666666666,1,-0.33333333333333337,0.33333333333333337,preventive,10.26,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
211,White (2003b),2,39,bidirectional,6,3,0,6,0.6666666666666666,0,0.6666666666666666,0.6666666666666666,generative,41.85,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
212,White (2003b),2,39,bidirectional,6,3,0,12,0.6666666666666666,0,0.6666666666666666,0.6666666666666666,generative,40.51,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
213,White (2003b),2,39,bidirectional,6,6,0,6,0.5,0,0.5,0.5,generative,22.32,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
214,White (2003b),2,39,bidirectional,6,6,0,12,0.5,0,0.5,0.5,generative,16.44,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
215,White (2003b),2,39,bidirectional,12,3,0,6,0.8,0,0.8,0.8,generative,71.38,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
216,White (2003b),2,39,bidirectional,12,3,0,12,0.8,0,0.8,0.8,generative,69.38,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
217,White (2003b),2,39,bidirectional,12,6,0,6,0.6666666666666666,0,0.6666666666666666,0.6666666666666666,generative,39.38,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
218,White (2003b),2,39,bidirectional,12,6,0,12,0.6666666666666666,0,0.6666666666666666,0.6666666666666666,generative,44.38,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
219,White (2003b),2,39,bidirectional,6,0,3,6,1,0.3333333333333333,0.6666666666666667,1,generative,43.69,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
220,White (2003b),2,39,bidirectional,6,0,3,12,1,0.2,0.8,1,generative,60.51,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
221,White (2003b),2,39,bidirectional,6,0,6,6,1,0.5,0.5,1,generative,28.97,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
222,White (2003b),2,39,bidirectional,6,0,6,12,1,0.3333333333333333,0.6666666666666667,1,generative,37.21,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
223,White (2003b),2,39,bidirectional,12,0,3,6,1,0.3333333333333333,0.6666666666666667,1,generative,60.95,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
224,White (2003b),2,39,bidirectional,12,0,3,12,1,0.2,0.8,1,generative,72.41,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
225,White (2003b),2,39,bidirectional,12,0,6,6,1,0.5,0.5,1,generative,40.82,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
226,White (2003b),2,39,bidirectional,12,0,6,12,1,0.3333333333333333,0.6666666666666667,1,generative,52.74,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
227,White (2003b),2,39,bidirectional,0,3,3,6,0,0.3333333333333333,-0.3333333333333333,1,preventive,-26.51,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
228,White (2003b),2,39,bidirectional,0,3,3,12,0,0.2,-0.2,1,preventive,-22.26,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
229,White (2003b),2,39,bidirectional,0,3,6,6,0,0.5,-0.5,1,preventive,-36.51,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
230,White (2003b),2,39,bidirectional,0,3,6,12,0,0.3333333333333333,-0.3333333333333333,1,preventive,-24.54,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
231,White (2003b),2,39,bidirectional,0,6,3,6,0,0.3333333333333333,-0.3333333333333333,1,preventive,-41.18,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
232,White (2003b),2,39,bidirectional,0,6,3,12,0,0.2,-0.2,1,preventive,-32.05,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
233,White (2003b),2,39,bidirectional,0,6,6,6,0,0.5,-0.5,1,preventive,-41.91,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
234,White (2003b),2,39,bidirectional,0,6,6,12,0,0.3333333333333333,-0.3333333333333333,1,preventive,-33.13,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
235,White (2003a),1,49,generative,4,0,10,10,1,0.5,0.5,1,generative,39.22,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
236,White (2003a),1,49,generative,10,10,0,4,0.5,0,0.5,0.5,generative,43.22,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
237,White (2003a),1,49,generative,8,0,8,8,1,0.5,0.5,1,generative,53.71,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
238,White (2003a),1,49,generative,8,8,0,8,0.5,0,0.5,0.5,generative,46.63,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
239,White (2003a),1,49,generative,12,0,6,6,1,0.5,0.5,1,generative,66.59,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
240,White (2003a),1,49,generative,6,6,0,12,0.5,0,0.5,0.5,generative,56.63,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
241,White (2003a),1,49,generative,12,4,4,4,0.75,0.5,0.25,0.5,generative,54.61,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
242,White (2003a),1,49,generative,4,4,4,12,0.5,0.25,0.25,0.3333333333333333,generative,39.08,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
243,White (2003a),2,40,generative,4,0,10,10,1,0.5,0.5,1,generative,39.97,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
244,White (2003a),2,40,generative,10,10,0,4,0.5,0,0.5,0.5,generative,46.87,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
245,White (2003a),2,40,generative,8,0,8,8,1,0.5,0.5,1,generative,59.85,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
246,White (2003a),2,40,generative,8,8,0,8,0.5,0,0.5,0.5,generative,46.65,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
247,White (2003a),2,40,generative,12,0,6,6,1,0.5,0.5,1,generative,73.8,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
248,White (2003a),2,40,generative,6,6,0,12,0.5,0,0.5,0.5,generative,55.22,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
249,White (2003a),2,40,generative,12,4,4,4,0.75,0.5,0.25,0.5,generative,61.12,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
250,White (2003a),2,40,generative,4,4,4,12,0.5,0.25,0.25,0.3333333333333333,generative,42.9,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
251,White (2003a),3,36,generative,4,0,10,10,1,0.5,0.5,1,generative,39.83,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
252,White (2003a),3,36,generative,10,10,0,4,0.5,0,0.5,0.5,generative,48.31,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
253,White (2003a),3,36,generative,8,0,8,8,1,0.5,0.5,1,generative,48.33,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
254,White (2003a),3,36,generative,8,8,0,8,0.5,0,0.5,0.5,generative,49.72,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
255,White (2003a),3,36,generative,12,0,6,6,1,0.5,0.5,1,generative,56.31,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
256,White (2003a),3,36,generative,6,6,0,12,0.5,0,0.5,0.5,generative,47.53,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
257,White (2003a),3,36,generative,12,4,4,4,0.75,0.5,0.25,0.5,generative,50.86,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
258,White (2003a),3,36,generative,4,4,4,12,0.5,0.25,0.25,0.3333333333333333,generative,34.22,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
259,White (2003a),4,42,generative,4,0,10,10,1,0.5,0.5,1,generative,44.03,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
260,White (2003a),4,42,generative,8,0,20,20,1,0.5,0.5,1,generative,44.76,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
261,White (2003a),4,42,generative,10,10,0,4,0.5,0,0.5,0.5,generative,50.24,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
262,White (2003a),4,42,generative,20,20,0,8,0.5,0,0.5,0.5,generative,54.64,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
263,White (2003a),4,42,generative,12,0,6,6,1,0.5,0.5,1,generative,67.07,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
264,White (2003a),4,42,generative,24,0,12,12,1,0.5,0.5,1,generative,70.02,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
265,White (2003a),4,42,generative,6,6,0,12,0.5,0,0.5,0.5,generative,59.62,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
266,White (2003a),4,42,generative,12,12,0,24,0.5,0,0.5,0.5,generative,58.71,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
267,White (2003a),5,39,generative,8,0,24,8,1,0.75,0.25,1,generative,26.23,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
268,White (2003a),5,39,generative,8,24,0,8,0.25,0,0.25,0.25,generative,27.08,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
269,White (2003a),5,39,generative,6,2,16,16,0.75,0.5,0.25,0.5,generative,28.49,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
270,White (2003a),5,39,generative,16,16,2,6,0.5,0.25,0.25,0.3333333333333333,generative,37.38,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
271,White (2003a),5,39,generative,4,4,8,24,0.5,0.25,0.25,0.3333333333333333,generative,37.21,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
272,White (2003a),5,39,generative,24,8,4,4,0.75,0.5,0.25,0.5,generative,53.64,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
273,White (2003a),5,39,generative,2,6,0,32,0.25,0,0.25,0.25,generative,41.05,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
274,White (2003a),5,39,generative,32,0,6,2,1,0.75,0.25,1,generative,70.33,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
275,White (2003a),6,43,generative,6,12,2,4,0.3333333333333333,0.3333333333333333,0,0,zero,31,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
276,White (2003a),6,43,generative,4,2,12,6,0.6666666666666666,0.6666666666666666,0,0,zero,35,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
277,White (2003a),6,43,generative,2,4,6,12,0.3333333333333333,0.3333333333333333,0,0,zero,29,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
278,White (2003a),6,43,generative,12,6,4,2,0.6666666666666666,0.6666666666666666,0,0,zero,54,"White, P. A. (2003). Making causal judgments from the proportion of confirming instances: the pCI rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29(4), 710-727 ."
279,White (2004),1,42,bidirectional,8,0,8,24,1,0.25,0.75,1,generative,48.26,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
280,White (2004),1,42,bidirectional,16,0,6,18,1,0.25,0.75,1,generative,64.05,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
281,White (2004),1,42,bidirectional,24,0,4,12,1,0.25,0.75,1,generative,74.81,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
282,White (2004),1,42,bidirectional,32,0,2,6,1,0.25,0.75,1,generative,88.33,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
283,White (2004),1,42,bidirectional,6,2,0,32,0.75,0,0.75,0.75,generative,79.79,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
284,White (2004),1,42,bidirectional,12,4,0,24,0.75,0,0.75,0.75,generative,58.33,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
285,White (2004),1,42,bidirectional,18,6,0,16,0.75,0,0.75,0.75,generative,58.38,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
286,White (2004),1,42,bidirectional,24,8,0,8,0.75,0,0.75,0.75,generative,59.6,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
287,White (2004),1,42,bidirectional,8,0,16,16,1,0.5,0.5,1,generative,30.29,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
288,White (2004),1,42,bidirectional,16,0,12,12,1,0.5,0.5,1,generative,44.55,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
289,White (2004),1,42,bidirectional,24,0,8,8,1,0.5,0.5,1,generative,60.48,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
290,White (2004),1,42,bidirectional,32,0,4,4,1,0.5,0.5,1,generative,79.19,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
291,White (2004),1,42,bidirectional,6,2,8,24,0.75,0.25,0.5,0.6666666666666666,generative,19.81,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
292,White (2004),1,42,bidirectional,12,4,6,18,0.75,0.25,0.5,0.6666666666666666,generative,35.71,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
293,White (2004),1,42,bidirectional,18,6,4,12,0.75,0.25,0.5,0.6666666666666666,generative,43.24,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
294,White (2004),1,42,bidirectional,24,8,2,6,0.75,0.25,0.5,0.6666666666666666,generative,44.48,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
295,White (2004),1,42,bidirectional,4,4,0,32,0.5,0,0.5,0.5,generative,37.45,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
296,White (2004),1,42,bidirectional,8,8,0,24,0.5,0,0.5,0.5,generative,37.81,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
297,White (2004),1,42,bidirectional,12,12,0,16,0.5,0,0.5,0.5,generative,19.76,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
298,White (2004),1,42,bidirectional,16,16,0,8,0.5,0,0.5,0.5,generative,13.43,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
299,White (2004),1,42,bidirectional,7,1,28,4,0.875,0.875,0,0,zero,-6.43,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
300,White (2004),1,42,bidirectional,14,2,21,3,0.875,0.875,0,0,zero,-3.14,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
301,White (2004),1,42,bidirectional,21,3,14,2,0.875,0.875,0,0,zero,21.76,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
302,White (2004),1,42,bidirectional,28,4,7,1,0.875,0.875,0,0,zero,40.69,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
303,White (2004),1,42,bidirectional,6,2,24,8,0.75,0.75,0,0,zero,-21.05,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
304,White (2004),1,42,bidirectional,12,4,18,6,0.75,0.75,0,0,zero,-1.21,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
305,White (2004),1,42,bidirectional,18,6,12,4,0.75,0.75,0,0,zero,13.48,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
306,White (2004),1,42,bidirectional,24,8,6,2,0.75,0.75,0,0,zero,35.02,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
307,White (2004),1,42,bidirectional,4,4,16,16,0.5,0.5,0,0,zero,-2.05,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
308,White (2004),1,42,bidirectional,8,8,12,12,0.5,0.5,0,0,zero,-2.17,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
309,White (2004),1,42,bidirectional,12,12,8,8,0.5,0.5,0,0,zero,14.5,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
310,White (2004),1,42,bidirectional,16,16,4,4,0.5,0.5,0,0,zero,10.14,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
