study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,PE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW,rating,question,scale,anchors,reference,note,comments,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,4,4,24,8,,,-.25,,.2,,,,,,,,,-21.38,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,4,4,24,8,,,-.50,,.2,,,,,,,,,-51,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,10,10,0,20,,,.50,,.5,,,,,,,,,31.26,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,10,10,5,15,,,.25,,.5,,,,,,,,,16.29,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,10,10,10,10,,,.00,,.5,,,,,,,,,0.5,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,10,10,15,5,,,-.25,,.5,,,,,,,,,-3.21,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,10,10,20,0,,,-.50,,.5,,,,,,,,,-35.12,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,16,16,0,8,,,.50,,.8,,,,,,,,,29.98,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,16,16,2,6,,,.25,,.8,,,,,,,,,18.87,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,16,16,4,4,,,.00,,.8,,,,,,,,,11.19,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,16,16,6,2,,,-.25,,.8,,,,,,,,,-1.98,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,16,16,8,0,,,-.50,,.8,,,,,,,,,4.1,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
